Account_Name,Account_ccrz_E_AccountGroupZZc,CreatedDate,Id,IsDeleted,LastActivityDate,LastModifiedDate,LastReferencedDate,LastViewedDate,Name,SystemModstamp,ccrz_AccountZZc,ccrz_AdjustmentAmountZZc,ccrz_AdjustmentReasonZZc,ccrz_BuyerCompanyNameZZc,ccrz_BuyerEmailZZc,ccrz_BuyerFirstNameZZc,ccrz_BuyerLastNameZZc,ccrz_BuyerMobilePhoneZZc,ccrz_BuyerPhoneZZc,ccrz_CCEmailAddressZZc,ccrz_ContactZZc,ccrz_ContractIdZZc,ccrz_CurrencyISOCodeZZc,ccrz_EffectiveAccountIDZZc,ccrz_EncryptedIdZZc,ccrz_ExtCarrierZZc,ccrz_ExtShipTrackNoZZc,ccrz_IsAnonymousZZc,ccrz_NameZZc,ccrz_NoteZZc,ccrz_OrderDateZZc,ccrz_OrderIdZZc,ccrz_OrderNameZZc,ccrz_OrderNumberZZc,ccrz_OrderStatusZZc,ccrz_PONumberZZc,ccrz_PaymentMethodZZc,ccrz_RequestDateZZc,ccrz_ShipAmountZZc,ccrz_ShipCompleteZZc,ccrz_ShipDiscountAmountZZc,ccrz_ShipMethodZZc,ccrz_ShipStructureZZc,ccrz_SkipTaxZZc,ccrz_SplitProcessedZZc,ccrz_StorefrontZZc,ccrz_SubtotalAmountZZc,ccrz_TaxAmountZZc,ccrz_TaxExemptFlagZZc,ccrz_TaxSubTotalAmountZZc,ccrz_TotalAmountZZc,ccrz_TotalDiscountZZc,ccrz_TotalSurchargeZZc,ccrz_VerifyExemptionFlagZZc
NTO San Francisco,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVYQA2,false,,2020-04-14T14:25:48.000Z,,,O-0000000610,2020-04-14T14:25:48.000Z,0013A00001gycIMQAY,,,,obuyer@example.com,Olivia,Buyer,,8001119866,,0033A00002XjFJPQA3,,USD,,d6ea66a5-5e2e-403c-9668-9c38231f3898,,,false,New Cart,,2020-01-14,,O-0000000610,1000610,Back Order,,,,36,false,,,LLI,false,false,AlpinePartner,2019.19,,false,2019.19,2055.19,,,false
NTO San Francisco,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVZQA2,false,,2020-04-14T14:25:48.000Z,,,O-0000000611,2020-04-14T14:25:48.000Z,0013A00001gycIMQAY,,,,obuyer@example.com,Olivia,Buyer,,8001119866,,0033A00002XjFJPQA3,,USD,,f1b6980a-a425-4bc2-85ae-1afed2ae2703,,,false,New Cart,,2020-04-09,,O-0000000611,1000611,Order Submitted,,,,42,false,,,LLI,false,false,NTOFranchise,1444,,false,1444,1486,,,false
NTO San Francisco,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVaQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000612,2020-04-14T14:25:48.000Z,0013A00001gycIMQAY,,,,obuyer@example.com,Olivia,Buyer,,8001119866,,0033A00002XjFJPQA3,,USD,,e038af17-9a04-4b1e-8842-20a93aeb0fa4,,,false,New Cart,,2020-04-09,,O-0000000612,1000612,Order Submitted,,,,42,false,,,LLI,false,false,AlpinePartner,2871.8,,false,2871.8,2913.8,,,false
NTO San Francisco,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVcQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000335,2020-04-14T14:25:48.000Z,0013A00001gycIMQAY,,,,obuyer@example.com,Olivia,Buyer,,(415)555-1212,,0033A00002XjFJPQA3,,USD,,59ef8c3c-fd46-4e9d-9a40-ce2e488ff252,,,false,New Cart,,2019-04-11,,O-0000000335,1000335,Order Submitted,,,,,false,,,LLI,false,false,AlpinePartner,239.7,,false,239.7,239.7,,,false
Nutrition Stop - San Mateo,a7H3A00001p0Ma5UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVdQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000350,2020-04-14T14:25:48.000Z,0013A00001gycIVQAY,,,,blumerkylee@nto.com,Kylee,Blumer,,(650)555-1212,,0033A00002XjFJaQAN,,USD,,a36e2ab4-68e2-42d6-a93c-8e71203951aa,,,false,New Cart,,2019-06-08,,O-0000000350,1000350,Shipped,,,,52,false,,,LLI,false,false,AlpinePartner,549.76,,false,549.76,601.76,,,false
NTO Store - Berkeley,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVeQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000351,2020-04-14T14:25:48.000Z,0013A00001gycINQAY,,,,tbuyer@nto.com,Tracy,Buyer,,510-555-1212,,0033A00002XjFJSQA3,,USD,,6eb89b82-9842-44ad-8333-578ca8cb3d60,,,false,New Cart,,2019-06-08,,O-0000000351,1000351,Shipped,,,,42,false,,,LLI,false,false,AlpinePartner,522.29,,false,522.29,564.29,,,false
NTO Store - Presidio,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVfQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000352,2020-04-14T14:25:48.000Z,0013A00001gycIOQAY,,,,khuebner@salesforce.com,Earl,McCormick,,(415)555-1212,,0033A00002XjFJTQA3,,USD,,8eda0a44-4d5e-4044-afdf-9b586b83b297,,,false,New Cart,,2019-06-08,,O-0000000352,1000352,Shipped,,,,42,false,,,LLI,false,false,AlpinePartner,343.6,,false,343.6,385.6,,,false
Alpine Nutrition Outlet (Hayward),a7H3A00001p0Ma7UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVgQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000353,2020-04-14T14:25:48.000Z,0013A00001gycIPQAY,,,,stimacrasheeda@alpineoutlet.com,Rasheeda,Stimac,,(510)555-1212,,0033A00002XjFJUQA3,,USD,,b91cf2ee-1648-4d56-9d46-1a5a86f6a56a,,,false,New Cart,,2019-06-08,,O-0000000353,1000353,Shipped,,,,58,false,,,LLI,false,false,AlpinePartner,1099.52,,false,1099.52,1157.52,,,false
NTO Store - Walnut Creek,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVhQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000354,2020-04-14T14:25:48.000Z,0013A00001gycIQQAY,,,,zickefooseanja@nto.com,Anja,Zickefoose,,(925)555-1212,,0033A00002XjFJVQA3,,USD,,4a6c583f-5661-4eca-be2b-36029c004184,,,false,New Cart,,2019-06-08,,O-0000000354,1000354,Shipped,,,,67,false,,,LLI,false,false,AlpinePartner,2237.5,,false,2237.5,2304.5,,,false
Rondel Store - San Francisco South,a7H3A00001p0Ma8UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RViQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000355,2020-04-14T14:25:48.000Z,0013A00001gycIRQAY,,,,crystalbarton@rondel.com,Crystal,Barton,,(415)555-1212,,0033A00002XjFJWQA3,,USD,,b381ef58-78a2-4170-a8be-04cf34562428,,,false,New Cart,,2019-06-08,,O-0000000355,1000355,Shipped,,,,52,false,,,LLI,false,false,AlpinePartner,549.76,,false,549.76,601.76,,,false
NTO Store - Ferry Plaza Market,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVjQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000356,2020-04-14T14:25:48.000Z,0013A00001gycISQAY,,,,lwolanski@example.com,Lauren,Wolanski,,(415) 555-1212,,0033A00002XjFJXQA3,,USD,,47bbb16f-7d74-4da0-bccf-eac32b82f6f9,,,false,New Cart,,2019-06-08,,O-0000000356,1000356,Shipped,,,,52,false,,,LLI,false,false,AlpinePartner,2148.86,,false,2148.86,2200.86,,,false
NTO Store - Dublin,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVkQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000357,2020-04-14T14:25:48.000Z,0013A00001gycITQAY,,,,fultzgerri@nto.com,Gerri,Fultz,,(925)555-1212,,0033A00002XjFJYQA3,,USD,,61261b91-893a-40d5-8697-103f34fa2ebe,,,false,New Cart,,2019-06-08,,O-0000000357,1000357,Shipped,,,,67,false,,,LLI,false,false,AlpinePartner,4416.68,,false,4416.68,4483.68,,,false
Fare Merchants - Union Sq,a7H3A00001p0Ma9UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVlQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000358,2020-04-14T14:25:48.000Z,0013A00001gycIUQAY,,,,maxineburton@faremerchants.com,Maxine,Burton,,(415)555-1212,,0033A00002XjFJZQA3,,USD,,2c983579-7c2d-4d50-b063-f52c86372d70,,,false,New Cart,,2019-06-08,,O-0000000358,1000358,Shipped,,,,58,false,,,LLI,false,false,AlpinePartner,3600.89,,false,3600.89,3658.89,,,false
NTO Store - Campbell,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVmQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000359,2020-04-14T14:25:48.000Z,0013A00001gycIWQAY,,,,stackamparo@nto.com,Amparo,Stack,,(408)555-1212,,0033A00002XjFJbQAN,,USD,,a10c7e43-f14c-4726-a7de-20fe9c93b80a,,,false,New Cart,,2019-06-08,,O-0000000359,1000359,Shipped,,,,77.25,false,,,LLI,false,false,AlpinePartner,3486.05,,false,3486.05,3563.3,,,false
NTO Store - Noe Valley,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVnQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000360,2020-04-14T14:25:48.000Z,0013A00001gycIXQAY,,,,brasfieldmai@nto.com,Mai,Brasfield,,(415)555-1212,,0033A00002XjFJcQAN,,USD,,3ad531cb-35ac-40f9-b6d7-b2afadeefb02,,,false,New Cart,,2019-06-08,,O-0000000360,1000360,Shipped,,,,77.25,false,,,LLI,false,false,AlpinePartner,8406.15,,false,8406.15,8483.4,,,false
Nutrition Stop - Hillsdale,a7H3A00001p0Ma5UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVoQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000361,2020-04-14T14:25:48.000Z,0013A00001gycHoQAI,,,,pocusers@cloudcraze.com,Carl,Cloud,,510-555-1212,,0033A00002XjFIlQAN,,USD,,b5688873-dd71-4c36-bfea-fa5ff8538a04,,,false,New Cart,,2019-06-08,,O-0000000361,1000361,Shipped,,,,58,false,,,LLI,false,false,AlpinePartner,5036.37,,false,5036.37,5094.37,,,false
NTO San Francisco,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVpQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000602,2020-04-14T14:25:48.000Z,0013A00001gycIMQAY,,,,obuyer@example.com,Olivia,Buyer,,1(415)555-1212,,0033A00002XjFJPQA3,,USD,,b79c8a72-38fc-4364-9a16-93d9d9920588,,,false,New Cart,,2019-06-25,,O-0000000602,1000602,Order Submitted,,,,30.75,false,,,LLI,false,false,AlpinePartner,17.58,,false,17.58,48.33,,,false
NTO San Francisco,a7H3A00001p0Ma6UAE,2020-04-14T14:25:48.000Z,a7y3A0000008RVqQAM,false,,2020-04-14T14:25:48.000Z,,,O-0000000603,2020-04-14T14:25:48.000Z,0013A00001gycIMQAY,,,,obuyer@example.com,Olivia,Buyer,,1(415)555-1212,,0033A00002XjFJPQA3,,USD,,54bcb64e-d21c-4a7c-aed4-5e643635f6fe,,,false,New Cart,,2019-06-25,,O-0000000603,1000603,Order Submitted,,,,42,false,,,LLI,false,false,AlpinePartner,207.8,,false,207.8,249.8,,,false
